country_id,latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,frp,daynight
UKR,47.52567,32.71865,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.99,D
UKR,47.52894,32.71751,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.99,D
UKR,47.60471,30.0705,0.42,0.38,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.5,D
UKR,47.61727,31.5218,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.69,D
UKR,47.62405,30.74276,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.17,D
UKR,47.62749,34.32406,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.08,D
UKR,47.63779,35.42083,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.82,D
UKR,47.643,35.48529,0.4,0.37,2023-07-25,1034,N,VIIRS,l,2.0NRT,4.44,D
UKR,47.64351,33.85741,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.16,D
UKR,47.64679,33.4281,0.38,0.36,2023-07-25,1034,N,VIIRS,l,2.0NRT,1.8,D
UKR,47.64679,33.85633,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.29,D
UKR,47.64756,33.43316,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.28,D
UKR,47.64966,36.08774,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.38,D
UKR,47.65305,36.08677,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.79,D
UKR,47.65336,32.90121,0.38,0.36,2023-07-25,1034,N,VIIRS,l,2.0NRT,1.77,D
UKR,47.65486,36.08373,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.78,D
UKR,47.65645,36.08581,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.79,D
UKR,47.65826,36.08278,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.78,D
UKR,47.74486,30.21204,0.42,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.5,D
UKR,47.76757,30.13837,0.42,0.38,2023-07-25,1034,N,VIIRS,n,2.0NRT,8.31,D
UKR,47.77432,30.13571,0.42,0.38,2023-07-25,1034,N,VIIRS,n,2.0NRT,9.73,D
UKR,47.77769,30.13437,0.42,0.38,2023-07-25,1034,N,VIIRS,l,2.0NRT,2.88,D
UKR,47.79316,29.98062,0.42,0.38,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.16,D
UKR,47.79396,29.97895,0.42,0.38,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.69,D
UKR,47.81957,30.9876,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.96,D
UKR,47.86746,33.44476,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.59,D
UKR,47.87536,35.15656,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.66,D
UKR,47.92472,32.75439,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,13.07,D
UKR,47.92799,32.75325,0.38,0.36,2023-07-25,1034,N,VIIRS,l,2.0NRT,2.82,D
UKR,47.92879,29.28475,0.44,0.38,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.78,D
UKR,47.92975,36.76273,0.43,0.38,2023-07-25,1034,N,VIIRS,l,2.0NRT,4.05,D
UKR,47.96521,32.75381,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.17,D
UKR,48.00455,30.06898,0.42,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.64,D
UKR,48.00792,30.06763,0.42,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.08,D
UKR,48.30279,33.67097,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.58,D
UKR,48.30775,30.53009,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,77.97,D
UKR,48.30935,33.66879,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.58,D
UKR,48.31264,33.6677,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.88,D
UKR,48.32398,37.91249,0.47,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.83,D
UKR,48.32467,37.91877,0.47,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.83,D
UKR,48.3276,37.91155,0.47,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.83,D
UKR,48.32829,37.91782,0.47,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.83,D
UKR,48.37174,32.88486,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.41,D
UKR,48.41079,37.82479,0.46,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.17,D
UKR,48.41836,39.41442,0.53,0.42,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.99,D
UKR,48.43432,25.3984,0.39,0.44,2023-07-25,1034,N,VIIRS,n,2.0NRT,1.52,D
UKR,48.45322,29.28137,0.43,0.38,2023-07-25,1034,N,VIIRS,n,2.0NRT,6.92,D
UKR,48.47175,34.96926,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.7,D
UKR,48.51168,33.49397,0.38,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.75,D
UKR,48.51984,34.63081,0.39,0.36,2023-07-25,1034,N,VIIRS,l,2.0NRT,3.91,D
UKR,48.53276,34.64884,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,6.68,D
UKR,48.5467,37.6491,0.46,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.25,D
UKR,48.54959,37.64196,0.46,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,6.87,D
UKR,48.55029,37.64816,0.46,0.39,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.25,D
UKR,48.76653,30.04832,0.41,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.18,D
UKR,48.83992,35.31295,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.76,D
UKR,48.84328,35.3119,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,6.28,D
UKR,48.84738,35.31635,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,8.12,D
UKR,48.84811,35.32185,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,8.12,D
UKR,48.85075,35.31532,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.94,D
