id_w_time,LATITUDE,LONGITUDE,id,x,y,year,time_of_year,ACQ_TIME,date,fire,pop_density,city,in_urban_area,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive
24.2-49.3-82-2022,49.259117,24.218325,24.2-49.3,24.200000000000003,49.3,2022,82,2354,2022-03-23,1,76.11090999179416,NA,TRUE,46.20768356323242,0,5,5,1,1,24-49,28,0
24.2-49.3-82-2022,49.257191,24.240856,24.2-49.3,24.200000000000003,49.3,2022,82,2354,2022-03-23,1,76.11090999179416,NA,TRUE,10.034818649291992,0,5,5,1,1,24-49,28,0
24.2-49.3-82-2022,49.261795,24.236065,24.2-49.3,24.200000000000003,49.3,2022,82,2354,2022-03-23,1,76.11090999179416,NA,TRUE,15.080759048461914,0,5,5,1,1,24-49,28,0
24.2-49.3-82-2022,49.261307,24.241699,24.2-49.3,24.200000000000003,49.3,2022,82,2354,2022-03-23,1,76.11090999179416,NA,TRUE,23.311458587646484,0,5,5,1,1,24-49,28,0
24.2-49.3-83-2022,49.250095,24.228565,24.2-49.3,24.200000000000003,49.3,2022,83,0942,2022-03-24,1,76.11090999179416,NA,TRUE,39.47447967529297,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.296196,24.238894,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,114.39153289794922,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.250221,24.219683,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,68.25054168701172,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.267181,24.24036,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,122.9036407470703,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.2766,24.1765,24.2-49.3,24.200000000000003,49.3,2022,83,1139,2022-03-24,1,76.11090999179416,NA,TRUE,169.29344177246094,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.260109,24.242268,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,23.311458587646484,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.261974,24.244795,24.2-49.3,24.200000000000003,49.3,2022,83,0942,2022-03-24,1,76.11090999179416,NA,TRUE,23.311458587646484,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.281288,24.173521,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,183.78494262695312,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.25375,24.218735,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,68.25054168701172,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.262154,24.239645,24.2-49.3,24.200000000000003,49.3,2022,83,0942,2022-03-24,1,76.11090999179416,NA,TRUE,15.080759048461914,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.262066,24.239338,24.2-49.3,24.200000000000003,49.3,2022,83,0136,2022-03-24,1,76.11090999179416,NA,TRUE,15.080759048461914,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.257278,24.249344,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,41.41322326660156,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.2597,24.2272,24.2-49.3,24.200000000000003,49.3,2022,83,0947,2022-03-24,1,76.11090999179416,NA,TRUE,23.09494400024414,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.260113,24.245268,24.2-49.3,24.200000000000003,49.3,2022,83,0136,2022-03-24,1,76.11090999179416,NA,TRUE,23.311458587646484,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.278469,24.18058,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,169.29344177246094,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.255348,24.219147,24.2-49.3,24.200000000000003,49.3,2022,83,0136,2022-03-24,1,76.11090999179416,NA,TRUE,68.25054168701172,1,17,20,1,1,24-49,28,1
24.2-49.3-83-2022,49.252953,24.220383000000002,24.2-49.3,24.200000000000003,49.3,2022,83,0942,2022-03-24,1,76.11090999179416,NA,TRUE,68.25054168701172,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.25304,24.215359,24.2-49.3,24.200000000000003,49.3,2022,83,0942,2022-03-24,1,76.11090999179416,NA,TRUE,83.9791030883789,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.281998,24.179623,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,169.29344177246094,1,17,20,1,1,24-49,28,0
24.2-49.3-83-2022,49.254459,24.224854,24.2-49.3,24.200000000000003,49.3,2022,83,1124,2022-03-24,1,76.11090999179416,NA,TRUE,39.47447967529297,1,17,20,1,1,24-49,28,0
24.2-49.3-85-2022,49.340748,24.163948,24.2-49.3,24.200000000000003,49.3,2022,85,1042,2022-03-26,1,76.11090999179416,NA,TRUE,25.035202026367188,0,3,3,1,1,24-49,28,0
24.2-49.3-85-2022,49.2663,24.2339,24.2-49.3,24.200000000000003,49.3,2022,85,0935,2022-03-26,1,76.11090999179416,NA,TRUE,122.9036407470703,0,3,3,1,1,24-49,28,0
24.2-49.3-85-2022,49.33947,24.157625,24.2-49.3,24.200000000000003,49.3,2022,85,1042,2022-03-26,1,76.11090999179416,NA,TRUE,25.035202026367188,0,3,3,1,1,24-49,28,0
24.7-49-143-2023,48.97549,24.70706,24.7-49,24.700000000000003,49,2023,143,2320,2023-05-23,1,280.86313138405484,NA,TRUE,571.40521240234375,1,1,4,1,1,25-49,94,1
24.7-49-144-2023,48.97586,24.70763,24.7-49,24.700000000000003,49,2023,144,9,2023-05-24,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,0
24.7-49-144-2023,48.97691,24.71089,24.7-49,24.700000000000003,49,2023,144,149,2023-05-24,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,0
24.7-49-144-2023,48.97381,24.71295,24.7-49,24.700000000000003,49,2023,144,9,2023-05-24,1,280.86313138405484,NA,TRUE,524.22601318359375,1,1,4,1,1,25-49,94,0
24.7-49-144-2023,48.97541,24.70772,24.7-49,24.700000000000003,49,2023,144,2352,2023-05-24,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,1
24.7-49-145-2023,48.97781,24.71274,24.7-49,24.700000000000003,49,2023,145,41,2023-05-25,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,0
24.7-49-145-2023,48.97604,24.71303,24.7-49,24.700000000000003,49,2023,145,41,2023-05-25,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,0
24.7-49-145-2023,48.97732,24.71029,24.7-49,24.700000000000003,49,2023,145,132,2023-05-25,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,0
24.7-49-145-2023,48.97445,24.71125,24.7-49,24.700000000000003,49,2023,145,41,2023-05-25,1,280.86313138405484,NA,TRUE,524.22601318359375,1,1,4,1,1,25-49,94,1
24.7-49-146-2023,48.97615,24.70943,24.7-49,24.700000000000003,49,2023,146,22,2023-05-26,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,2,1,1,25-49,94,0
24.7-49-146-2023,48.97629,24.71042,24.7-49,24.700000000000003,49,2023,146,113,2023-05-26,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,2,1,1,25-49,94,0
24.7-49-147-2023,48.97575,24.71335,24.7-49,24.700000000000003,49,2023,147,2344,2023-05-27,1,280.86313138405484,NA,TRUE,843.08856201171875,0,3,1,1,1,25-49,94,0
24.7-49-148-2023,48.97745,24.71128,24.7-49,24.700000000000003,49,2023,148,126,2023-05-28,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,4,1,1,25-49,94,0
24.7-49-148-2023,48.97432,24.71016,24.7-49,24.700000000000003,49,2023,148,2326,2023-05-28,1,280.86313138405484,NA,TRUE,524.22601318359375,0,2,4,1,1,25-49,94,0
24.7-49-148-2023,48.9744,24.70888,24.7-49,24.700000000000003,49,2023,148,2326,2023-05-28,1,280.86313138405484,NA,TRUE,524.22601318359375,0,2,4,1,1,25-49,94,0
24.7-49-148-2023,48.9745,24.71251,24.7-49,24.700000000000003,49,2023,148,35,2023-05-28,1,280.86313138405484,NA,TRUE,524.22601318359375,0,2,4,1,1,25-49,94,0
