date,area_assessed_as_russia_controlled,name,change_in_area_assessed_as_russia_controlled,change_in_area_assessed_as_russia_controlled_in_past_7_days,change_in_area_assessed_as_russia_controlled_in_past_30_days,area_assessed_as_russia_controlled_percent
2022-03-26,136934536022.964,UkraineControlMapAO26MAR2022.zip,0,10503955228.336655,54950109371.025406,0.22685252510315
2022-03-27,136941681612.929,UkraineControlMapAO27March2022.zip,7145589.96484375,10511100818.301498,34846563371.88052,0.226864362840904
2022-03-28,136958606566.53,UkraineControlMapAO28March2022.zip,16924953.600830078,10528025771.902328,15439966233.025177,0.226892401556141
2022-03-29,134268133325.898,UkraineControlMapAO29March2022.zip,-2690473240.63179,7837552531.270538,11563863536.125992,0.222435230515977
2022-03-30,134450992923.692,UkraineControlMapAO30MAR2022.zip,182859597.7932434,-2478791675.4918823,12566832558.909775,0.222738164769844
2022-03-31,130474461888.959,UkraineControlMapAO31MAR2022.zip,-3976531034.732544,-6460074134.005417,7749390933.450363,0.216150446780068
2022-04-01,126906837709.953,UkraineControlMap01APR2022.zip,-3567624179.0063934,-10027698313.01181,1718908004.5093079,0.210240144111858
2022-04-02,126560056975.299,UkraineControlMap02APR2022.zip,-346780734.6539154,-10374479047.665726,1219957855.533142,0.209665649995194
2022-04-03,106921368171.42,UkraineControlMap03APR2022.zip,-19638688803.87877,-30020313441.50934,-23016849817.317795,0.177131226800977
2022-04-04,101959435830.996,UkraineControlMao04APR2022.zip,-4961932340.423859,-34999170735.53403,-27415067160.22647,0.168911044270637
2022-04-05,103651675177.853,UkraineControlMap05APR2022.zip,1692239346.8564148,-30616458148.045822,-25722827813.370056,0.171714491670122
2022-04-06,103651675177.853,UkraineControlMap06APR2022.zip,0,-30799317745.839066,-25574637871.46199,0.171714491670122
2022-04-07,103724221687.804,UkraineControlMapAO07APR2022.zip,72546509.95162964,-26750240201.154892,-25482823398.205887,0.17183467580663
2022-04-08,103724221687.804,UkraineControlMapAO08APR2022.zip,0,-23182616022.1485,-25033952609.500473,0.17183467580663
2022-04-09,104412735959.95,UkraineControlMapAO09APR2022.zip,688514272.1454468,-22147321015.349136,-22492368539.540543,0.172975302603507
2022-04-10,104412735959.95,UkraineControlMapAO10APR2022.zip,0,-2508632211.4703674,-22375807194.70546,0.172975302603507
2022-04-11,104100299715.31,UkraineControlMapAO11APR2022.zip,-312436244.63916016,2140863884.314331,-22546466498.749893,0.172457705267666
2022-04-12,110508464421.533,UkraineControlMapAO12APR2022.zip,6408164706.222427,6856789243.680344,-16180969375.17627,0.183073787865263
2022-04-13,110506079781.427,UkraineCOntrolMapAO13APR2022.zip,-2384640.106323242,6854404603.57402,-16183268768.963013,0.183069837352519
2022-04-14,110510319094.84,UkraineControlMapAO14APR2022.zip,4239313.413574219,6786097407.035965,-16179029455.549438,0.183076860408795
2022-04-15,110510319094.84,UkraineControlMapAO15APR2022.zip,0,6786097407.035965,-16159961675.546112,0.183076860408795
2022-04-16,110510319094.84,UkraineControlMapAO16APR2022.zip,0,6097583134.890518,-16159401856.5466,0.183076860408795
2022-04-17,110510319094.84,UkraineControlMapAO17APR2022.zip,0,6097583134.890518,-15920261699.78769,0.183076860408795
2022-04-18,110403281988.898,UkraineControlMapAO18APR2022.zip,-107037105.94229126,6302982273.587387,-16027298805.72998,0.182899537445079
2022-04-19,110074157684.889,UkraineControlMapAO19APR2022.zip,-329124304.0087738,-434306736.6438141,-16356423109.738754,0.182354293844701
2022-04-20,114017616925.082,UkraineControlMapAO20APR2022.zip,3943459240.1930847,3511537143.655594,-12412963869.54567,0.188887223463925
2022-04-21,114089712378.156,UkraineControlMapAO21APR2022.zip,72095453.07397461,3579393283.3159943,-12340868416.471695,0.1890066603573
2022-04-22,114940481705.755,UkraineControlMapAO22APR2022.zip,850769327.5992432,4430162610.915237,-21989302893.428116,0.190416086904112
2022-04-23,115308242753.983,UkraineControlMapAO23APR2022.zip,367761048.22746277,4797923659.1427,-21626293268.981644,0.19102533804592
2022-04-24,115612564269.009,UkraineControlMapAO24APR2022.zip,304321515.0259094,5102245174.16861,-21321971753.955734,0.191529492119333
2022-04-25,115590152935.858,UkraineControlMapAO25APR2025.zip,-22411333.150634766,5186870946.960266,-21344383087.10637,0.19149236439638
2022-04-26,115590152935.858,UkraineControlMapAO26APR2022.zip,0,5515995250.96904,-21351528677.071213,0.19149236439638
2022-04-27,117968888681.925,UkraineControlMapAO27APR2022.zip,2378735746.066925,3951271756.8428802,-18989717884.605118,0.195433095684635
2022-04-28,118640952571.272,UkraineControlMapAO28APR2022.zip,672063889.3470306,4551240193.115936,-15627180754.626297,0.196546469963739
2022-04-29,117740447642.597,UkraineControlMapAO29APR2022.zip,-900504928.6755066,2799965936.8411865,-16710545281.095047,0.195054648960281
2022-04-30,117740447642.597,UkraineControlMapAO30APR2022.zip,0,2432204888.6137238,-12734014246.362503,0.195054648960281
2022-05-01,117406690911.559,UkraineControlMapAO01MAY2022.zip,-333756731.0373535,1794126642.5504608,-9500146798.393463,0.19450173105217
2022-05-02,117406690911.559,UkraineControlMap02MAY2022.zip,0,1816537975.7010956,-9153366063.739548,0.19450173105217
2022-05-03,117406690911.559,UkraineControlMap03MAY2022.zip,0,1816537975.7010956,10485322740.139221,0.19450173105217
2022-05-04,117336203531.695,UkraineControlMap04MAY2022.zip,-70487379.86450195,-632685150.2303314,15376767700.698578,0.194384958172409
2022-05-05,117336206265.047,UkraineControlMap05MAY2022.zip,2733.3524780273438,-1304746306.224884,13684531087.194641,0.194384962700616
2022-05-06,117202183750.317,UkraineControlMap06MAY2022.zip,-134022514.72975159,-538263892.279129,13550508572.46489,0.194162934374014
2022-05-07,117143366969.629,UkraineControlMapAO7May2022.zip,-58816780.68884277,-597080672.9679718,13419145281.824417,0.194065495586071
2022-05-08,119647240237.185,UkraineControlMapAO08May2022.zip,2503873267.5562897,2240549325.6256714,15923018549.380707,0.198213535881677
2022-05-09,119642950255.059,UkraineControlMapAO09MAY2022.zip,-4289982.126220703,2236259343.4994507,15230214295.10904,0.198206428885106
2022-05-10,119476708307.93,UkraineControlMapAO10MAY2022.zip,-166241947.1291504,2070017396.3703003,15063972347.979889,0.197931024253231
2022-05-11,119531510701.976,UkraineControlMapAO11MAY2022.zip,54802394.04660034,2195307170.2814026,15431210986.66565,0.198021812609713
2022-05-12,119531510701.976,Ukraine_ControlMap12MAY2022.zip,0,2195304436.9289246,9023046280.443222,0.198021812609713
2022-05-13,119417054060.419,UkraineControlMap13May2022.zip,-114456641.55723572,2214870310.1014404,8910974278.99231,0.19783219807633
2022-05-14,119417054060.419,UkraineControlMap14May2022.zip,0,2273687090.790283,8906734965.578735,0.19783219807633
2022-05-15,119417054060.419,UkraineControlMap15MAY2022.zip,0,-230186176.76600647,8906734965.578735,0.19783219807633
2022-05-16,119418215719.161,UkraineControlMap16MAY2022.zip,1161658.742553711,-224734535.89723206,8907896624.32129,0.197834122537658
2022-05-17,119432388141.697,UkraineControlMap17MAY2022.zip,14172422.535888672,-44320166.23219299,8922069046.857178,0.197857601273793
2022-05-18,119425621045.627,UkraineControlMap18May2022.zip,-6767096.070251465,-105889656.3490448,9022339056.729218,0.197846390567745
2022-05-19,119421753765.581,UkraineControlMapAO19May2022.zip,-3867280.0462646484,-109756936.39530945,9347596080.691727,0.197839983840347
2022-05-20,119295022885.271,UkraineControlMapAO20May2022.zip,-126730880.31022644,-122031175.14830017,5277405960.188416,0.197630035195966
2022-05-21,120424627690.523,UkraineControlMapAO21May2022.zip,1129604805.2527008,1007573630.1044006,6334915312.367142,0.199501394386151
2022-05-22,120346483483.533,UkraineControlMapAAO22May2022.zip,-78144206.990448,929429423.1139526,5406001777.777451,0.199371936827869
2022-05-23,120346483483.533,UkraineControlMapAO23May2022.zip,0,928267764.3713989,5038240729.549988,0.199371936827869
2022-05-24,120396912094.228,UkraineControlMapAO24May2022.zip,50428610.694992065,964523952.5305023,4784347825.21907,0.199455479358525
2022-05-25,120322348874.038,UkraineControlMapAO25May2022.zip,-74563220.1902008,896727828.410553,4732195938.179504,0.199331954240091
2022-05-26,120566131306.023,UkraineControlMapAO26May2022.zip,243782431.98509216,1144377540.4419098,4975978370.164597,0.199735816274299
2022-05-27,120566131306.023,UkraineControlMapAO27May2022.zip,0,1271108420.7521362,2597242624.0976715,0.199735816274299
2022-05-28,120566131306.023,UkraineControlMapAO28May2022.zip,0,141503615.49943542,1925178734.7506409,0.199735816274299
2022-05-29,120522740669.859,UkraineControlMapAO29May2022.zip,-43390636.16377258,176257186.32611084,2782293027.262375,0.199663933200347
2022-05-30,120482701896.632,UkraineControlMapAO30May2022.zip,-40038773.226486206,136218413.09962463,2742254254.0358887,0.199597602988318
2022-05-31,120459020605.815,UkraineControlMapAO31May2022.zip,-23681290.817581177,62108511.58705139,3052329694.255661,0.199558371390682
2022-06-01,120456558236.678,UkraineControlMapAO01June2022.zip,-2462369.1364746094,134209362.64077759,3049867325.1191864,0.199554292108183
2022-06-02,120702959044.197,UkraineControlMapAO02JUN2022.zip,246400807.51838684,136827738.17407227,3296268132.6375732,0.199962491872804
2022-06-03,120706350373.728,UkraineControlMapAOJUN032022.zip,3391329.5314178467,140219067.7054901,3370146842.033493,0.199968110117039
2022-06-04,120482313715.269,UkraineControlMapAO04JUN2022.zip,-224036658.45889282,-83817590.75340271,3146107450.222122,0.199596959907873
2022-06-05,120470631349.206,UkraineControlMapAO05JUN2022.zip,-11682366.063537598,-52109320.653167725,3268447598.888336,0.199577606322447
2022-06-06,120470631349.206,UkraineControlMapAO06JUN2022.zip,0,-12070547.426681519,3327264379.577179,0.199577606322447
2022-06-07,120470631349.206,UkraineControlMapAO07JUN2022.zip,0,11610743.390899658,823391112.0208893,0.199577606322447
2022-06-08,120470631349.206,UkraineControlMapAO08JUN2022.zip,0,14073112.527374268,827681094.14711,0.199577606322447
2022-06-09,120470631349.206,UkraineControlMapAO09JUN2022.zip,0,-232327694.99101257,993923041.2762604,0.199577606322447
2022-06-10,120471461282.388,UkraineControlMapAO10JUN2022.zip,829933.1823425293,-234889091.3400879,939950580.4120026,0.199578981230805
2022-06-11,121028278200.375,UkraineControlMapAO11JUN2022.zip,556816917.9866638,545964485.10546875,1496767498.3986664,0.200501431677084
2022-06-12,121028278200.375,UkraineControlMapAO12JUN2022.zip,0,557646851.1690063,1611224139.955902,0.200501431677084
2022-06-13,121383946720.26,UkraineControlMapAO13JUN2022.zip,355668519.8853302,913315371.0543365,1966892659.8412323,0.201090649738349
2022-06-14,121404757024.361,UkraineControlMapAO14JUN2022.zip,20810304.101013184,934125675.1553497,1987702963.9422455,0.201125125117392
2022-06-15,121404754937.662,UkraineControlMapAO15JUN2022.zip,-2086.6990966796875,934123588.456253,1986539218.500595,0.201125121660463
2022-06-16,121395970040.588,UkraineControlMapAO16JUN2022.zip,-8784897.073684692,925338691.3825684,1963581898.8910217,0.201110568165473
2022-06-17,121395970040.588,UkraineControlMapAO17JUN2022.zip,0,924508758.2002258,1970348994.9612732,0.201110568165473
2022-06-18,121395970040.588,UkraineControlMapAO18JUN2022.zip,0,367691840.213562,1974216275.0075378,0.201110568165473
2022-06-19,121395970040.588,UkraineControlMapAO19JUN2022.zip,0,367691840.213562,2100947155.3177643,0.201110568165473
2022-06-20,121411308881.759,UkraineControlMapAO20JUN2022.zip,15338841.171020508,27362161.49925232,986681191.236084,0.20113597924841
2022-06-21,121419893713.314,UkraineControlMapAO21JUN2022.zip,8584831.554916382,15136688.953155518,1073410229.7814484,0.201150201304966
2022-06-22,121358078022.146,UkraineControlMapAO22JUN2022.zip,-61815691.16838074,-46676915.51612854,1011594538.6130676,0.201047794373597
2022-06-23,121358078022.146,UkraineControlMapAO23JUN2022.zip,0,-37892018.44244385,961165927.9180756,0.201047794373597
2022-06-24,121358078022.146,UkraineControlMapAO24JUN2022.zip,0,-37892018.44244385,1035729148.1082764,0.201047794373597
2022-06-25,121925671130.645,UkraineControlMapAO25JUN2022.zip,567593108.4988251,529701090.0563812,1359539824.6220093,0.201988097190065
2022-06-26,121925671130.645,UkraineControlMapAO26JUN2022.zip,0,529701090.0563812,1359539824.6220093,0.201988097190065
2022-06-27,121879734065.037,UkraineControlMapAO27JUN2022.zip,-45937065.60787964,468425183.2774811,1313602759.0141296,0.20191199557515
2022-06-28,121879734065.037,UkraineControlMapAO28JUN2022.zip,0,459840351.7225647,1356993395.1779022,0.20191199557515
2022-06-29,121879734065.037,UkraineControlMapAO29JUN2022.zip,0,521656042.89094543,1397032168.4043884,0.20191199557515
2022-06-30,121984334261.528,UkraineControlMapAO30JUN2022.zip,104600196.49128723,626256239.3822327,1525313655.7132568,0.202085281434142
2022-07-01,121984334261.528,UkraineControlMapAO01JUL2022.zip,0,626256239.3822327,1527776024.8497314,0.202085281434142
2022-07-02,122073105291.946,UkraineControlMapAO02JUL2022.zip,88771030.41807556,147434161.30148315,1370146247.7494202,0.202232343913712
2022-07-03,122304033591.023,UkraineControlMapAO03JUL2022.zip,230928299.07661438,378362460.37809753,1597683217.2946167,0.202614911155584
2022-07-04,122304033591.023,UkraineControlMapAO04JUL2022.zip,0,424299525.9859772,1821719875.7535095,0.202614911155584
2022-07-05,122322473591.994,UkraineControlMapAO05JUL2022.zip,18440000.971084595,442739526.95706177,1851842242.7881317,0.202645459773228
2022-07-06,122322473591.994,UkraineControlMapAO06JUL2022.zip,0,442739526.95706177,1851842242.7881317,0.202645459773228
2022-07-07,122299094769.365,UkraineControlMapAO07JUL2022.zip,-23378822.62876892,314760507.8370056,1828463420.1593628,0.202606729259354
2022-07-08,122716982579.596,UkraineControlMapAO08JUL2022.zip,417887810.2306671,732648318.0676727,2246351230.39003,0.203299022874346
2022-07-09,122716982579.596,UkraineControlMapAO09JUL2022.zip,0,643877287.6495972,2246351230.39003,0.203299022874346
2022-07-10,122716982579.596,UkraineControlMapAO10JUL2022.zip,0,412948988.5729828,2245521297.2076874,0.203299022874346
2022-07-11,122716982579.596,UkraineControlMapAO011JUL2022.zip,0,412948988.5729828,1688704379.2210236,0.203299022874346
2022-07-12,122716982579.596,UkraineControlMapAO12JUL2022.zip,0,394508987.6018982,1688704379.2210236,0.203299022874346
2022-07-13,122716982579.596,UkraineControlMapAO13JUL2022.zip,0,394508987.6018982,1333035859.3356934,0.203299022874346
2022-07-14,122693087427.411,UkraineControlMapAO14JUL2022.zip,-23895152.184677124,393992658.04599,1288330403.050003,0.203259436983392
2022-07-15,122979777221.446,UkraineControlMapAO15JUL2022.zip,286689794.0349426,262794641.8502655,1575022283.7840424,0.203734381475753
2022-07-16,122979777221.446,UkraineControlMapAO16JUL2022.zip,0,262794641.8502655,1583807180.857727,0.203734381475753
2022-07-17,122979777221.446,UkraineControlMapAO17JUL2022.zip,0,262794641.8502655,1583807180.857727,0.203734381475753
2022-07-18,122979777221.446,UkraineControlMapAO18JUL2022.zip,0,262794641.8502655,1583807180.857727,0.203734381475753
2022-07-19,122979777221.446,UkraineControlMapAO19JUL2022 (1).zip,0,262794641.8502655,1583807180.857727,0.203734381475753
2022-07-20,122979777221.446,UkraineControlMapAO20JUL2022.zip,0,262794641.8502655,1568468339.6867065,0.203734381475753
2022-07-21,122974504486.838,UkraineControlMapAO21JUL2022.zip,-5272734.607666016,281417059.4272766,1554610773.5241241,0.203725646402815
2022-07-22,122974504486.838,UkraineControlMapAO22JUL2022.zip,0,-5272734.607666016,1616426464.692505,0.203725646402815
2022-07-23,122974504486.838,UkraineControlMapAO23JUL2022.zip,0,-5272734.607666016,1616426464.692505,0.203725646402815
2022-07-24,122974504486.838,UkraineControlMapAO24JUL2022.zip,0,-5272734.607666016,1616426464.692505,0.203725646402815
2022-07-25,122990561503.059,UkraineControlMapAO25JUL2022.zip,16057016.220687866,10784281.61302185,1064890372.4143677,0.20375224725006
2022-07-26,122997788752.595,UkraineControlMapAO26JUL2022.zip,7227249.536117554,18011531.149139404,1072117621.9504852,0.203764220269098
2022-07-27,123060794998.12,UkraineControlMapAO27JUL2022.zip,63006245.524520874,81017776.67366028,1181060933.0828857,0.203868599531698
2022-07-28,123060794998.12,UkraineControlMapAO28JUL2022.zip,0,86290511.2813263,1181060933.0828857,0.203868599531698
2022-07-29,123060820774.663,UkraineControlMapAO29JUL2022.zip,25776.543563842773,86316287.82489014,1181086709.6264496,0.203868642234395
2022-07-30,123060820774.663,UkraineControlMapAO30JUL2022.zip,0,86316287.82489014,1076486513.1351624,0.203868642234395
2022-07-31,123060820774.663,UkraineControlMapAO31JUL2022.zip,0,86316287.82489014,1076486513.1351624,0.203868642234395
2022-08-01,123060820774.663,UkraineControlMapAO01AUG2022.zip,0,70259271.60420227,987715482.7170868,0.203868642234395
2022-08-02,123060820774.663,UkraineControlMapAO02AUG2022.zip,0,63032022.06808472,756787183.6404724,0.203868642234395
2022-08-03,123060820774.663,UkraineControlMapAO03AUG2022.zip,0,25776.543563842773,756787183.6404724,0.203868642234395
2022-08-04,123079651121.196,UkraineControlMapAO04AUG2022.zip,18830346.53265381,18856123.07621765,757177529.2020416,0.203899837517802
2022-08-05,123079651121.196,UkraineControlMapAO05AUG2022.zip,0,18830346.53265381,757177529.2020416,0.203899837517802
2022-08-06,123069020197.529,UkraineControlMapAO06AUG2022.zip,-10630923.667098999,8199422.86555481,769925428.1637115,0.203882225803854
2022-08-07,123048347780.3,UkraineControlMapAO07AUG2022.zip,-20672417.229171753,-12472994.363616943,331365200.7038727,0.203847978855023
2022-08-08,123193123303.602,UkraineControlMapAO08AUG2022.zip,144775523.30213928,132302528.93852234,476140724.00601196,0.204087821147465
2022-08-09,123193123303.602,UkraineControlMapAO09AUG2022.zip,0,132302528.93852234,476140724.00601196,0.204087821147465
2022-08-10,123193123303.602,UkraineControlMapAO10AUG2022.zip,0,132302528.93852234,476140724.00601196,0.204087821147465
2022-08-11,123193123303.602,UkraineControlMapAO11AUG2022.zip,0,113472182.40586853,476140724.00601196,0.204087821147465
2022-08-12,123193123303.602,UkraineControlMapAO12AUG2022.zip,0,113472182.40586853,476140724.00601196,0.204087821147465
2022-08-13,124885770324.35,UkraineControlMapAO13AUG2022.zip,1692647020.7482758,1816750126.8212433,2192682896.938965,0.206891943919682
2022-08-14,124885770324.35,UkraineControlMapAO14AUG2022.zip,0,1837422544.050415,1905993102.9040222,0.206891943919682
2022-08-15,124894763629.96,UkraineControlMapAO15AUG2022.zip,8993305.61013794,1701640326.3584137,1914986408.5141602,0.206906842674562
2022-08-16,124874815702.37,UkraineControlMapAO16AUG2022.zip,-19947927.58972168,1681692398.768692,1895038480.9244385,0.2068737959511
2022-08-17,124874815702.37,UkraineControlMapAO17AUG2022.zip,0,1681692398.768692,1895038480.9244385,0.2068737959511
2022-08-18,124874815702.37,UkraineControlMapAO18AUG2022.zip,0,1681692398.768692,1895038480.9244385,0.2068737959511
2022-08-19,124874815702.37,UkraineControlMapAO19AUG2022.zip,0,1681692398.768692,1895038480.9244385,0.2068737959511
2022-08-20,124871862921.48,UkraineControlMapAO20AUG2022.zip,-2952780.890991211,-13907402.870574951,1897358434.6411133,0.206868904228232
2022-08-21,124871862921.48,UkraineControlMapAO21AUG2022.zip,0,-13907402.870574951,1897358434.6411133,0.206868904228232
2022-08-22,124871862921.48,UkraineControlMapAO22AUG2022.zip,0,-22900708.48071289,1897358434.6411133,0.206868904228232
2022-08-23,124853613123.952,UkraineControlMapAO23AUG2022.zip,-18249797.527023315,-21202578.418014526,1879108637.11409,0.206838670711021
2022-08-24,124853613123.952,UkraineControlMapAO24AUG2022.zip,0,-21202578.418014526,1863051620.893402,0.206838670711021
2022-08-25,124741882069.913,UkraineControlMapAO25AUG2022.zip,-111731054.03962708,-132933632.4576416,1744093317.3176575,0.206653571520726
2022-08-26,124741882069.913,UkraineControlMapAO26AUG2022.zip,0,-132933632.4576416,1681087071.7931366,0.206653571520726
2022-08-27,124741882069.913,UkraineControlMapAO27AUG2022.zip,0,-129980851.56665039,1681087071.7931366,0.206653571520726
2022-08-28,124741882069.913,UkraineControlMapAO28AUG2022.zip,0,-129980851.56665039,1681061295.2495728,0.206653571520726
2022-08-29,124741882069.913,UkraineControlMapAO29AUG2022.zip,0,-129980851.56665039,1681061295.2495728,0.206653571520726
2022-08-30,124700202792.189,UkraineControlMapAO30AUG2022.zip,-41679277.72393799,-153410331.76356506,1639382017.5256348,0.206584523567808
2022-08-31,124700202792.189,UkraineControlMapAO31AUG2022.zip,0,-153410331.76356506,1639382017.5256348,0.206584523567808
2022-09-01,124653139830.68,UkraineControlMapAO01SEPT2022.zip,-47062961.508758545,-88742239.23269653,1592319056.0168762,0.206506556738057
2022-09-02,124485375828.646,UkraineControlMapAO02SEP2022.zip,-167764002.03378296,-256506241.2664795,1424555053.9830933,0.206228630594748
2022-09-03,124485375828.646,UkraineControlMapAO03SEP2022.zip,0,-256506241.2664795,1405724707.4504395,0.206228630594748
2022-09-04,124378308770.351,UkraineControlMapAO04SEP2022.zip,-107067058.29528809,-363573299.5617676,1298657649.1551514,0.206051258010482
2022-09-05,124378308770.351,UkraineControlMapAO05SEP2022.zip,0,-363573299.5617676,1309288572.8222504,0.206051258010482
2022-09-06,124250027283.195,UkraineControlMapAO06SEP2022.zip,-128281487.15621948,-450175508.9940491,1201679502.8952026,0.205838740554108
2022-09-07,123691812146.195,UkraineControlMapAO07SEP2022.zip,-558215136.9998932,-1008390645.9939423,498688842.59317017,0.204913973749056
2022-09-08,123062845613.858,UkraineControlMapAO08SEP2022.zip,-628966532.3369293,-1590294216.822113,-130277689.74375916,0.203871996683153
2022-09-09,121867597071.267,UkraineControlMapAO09SEP2022.zip,-1195248542.5914764,-2617778757.3798065,-1325526232.3352356,0.20189188883098
2022-09-10,118424139028.816,UkraineControlMapAO10SEP2022.zip,-3443458042.450409,-6061236799.830215,-4768984274.785645,0.196187285925796
2022-09-11,116625871510.544,UkraineControlMapAO11SEP2022.zip,-1798267518.2725067,-7752437259.807434,-6567251793.058151,0.193208187013432
2022-09-12,117355049137.522,UkraineControlMapAO12SEP2022.zip,729177626.9783478,-7023259632.829086,-7530721186.828079,0.194416178735118
2022-09-13,117323488262.708,UkraineControlMapAO13SEP2022.zip,-31560874.813705444,-6926539020.486572,-7562282061.641785,0.194363893428914
2022-09-14,117316013992.225,UkraineControlMapAO14SEP2022.zip,-7474270.483322144,-6375798153.970001,-7578749637.735245,0.194351511182757
2022-09-15,116956920371.684,UkraineControlMapAO15SEP2022.zip,-359093620.541214,-6105925242.174286,-7917895330.686737,0.193756618930341
2022-09-16,116876587158.786,UkraineControlMapAO16SEP2022.zip,-80333212.89743042,-4991009912.48024,-7998228543.5841675,0.193623534956606
2022-09-17,116635748439.696,UkraineControlMapAO17SEP2022.zip,-240838719.09051514,-1788390589.120346,-8239067262.674683,0.193224549622774
2022-09-18,116602449898.09,UkraineControlMapAO18SEP2022.zip,-33298541.60571289,-23421612.453552246,-8272365804.2803955,0.193169385611817
2022-09-19,116602449898.09,UkraineControlMapAO19SEP2022.zip,0,-752599239.4319,-8269413023.389404,0.193169385611817
2022-09-20,116602449898.09,UkraineControlMapAO20SEP2022.zip,0,-721038364.6181946,-8269413023.389404,0.193169385611817
2022-09-21,116598023102.12,UkraineControlMapAO21SEP2022.zip,-4426795.969802856,-717990890.1046753,-8273839819.359207,0.193162051962666
2022-09-22,116327781649.501,UkraineControlMapAO22SEP22.zip,-270241452.6194458,-629138722.1829071,-8525831474.45163,0.192714356606222
2022-09-23,116142048630.53,UkraineControlMapAO23SEP2022.zip,-185733018.9705963,-734538528.256073,-8711564493.422226,0.192406662100715
